,NAME,LEVEL,PERIOD,URL
0,これで解決！自分に合った動画の見つけ方,初級,0h 02m,https://unlimited.globis.co.jp/ja/courses/a6f72bce
1,モチベーションアップ！学びが続くコツ,初級,0h 02m,https://unlimited.globis.co.jp/ja/courses/63ba8389
2,ビジネスの全体像ってどうなってるの？,初級,0h 05m,https://unlimited.globis.co.jp/ja/courses/4ed45d2b
3,キャリア・サバイバル,初級,0h 12m,https://unlimited.globis.co.jp/ja/courses/1a128766
4,これからのマネジャーの教科書,中級,0h 46m,https://unlimited.globis.co.jp/ja/courses/b20b38d9
5,志を育てる,中級,1h 05m,https://unlimited.globis.co.jp/ja/courses/4c487a02
6,Learn How to Learn ～自分にあった学習法を見つけるための4つのステップ～,中級,0h 57m,https://unlimited.globis.co.jp/ja/courses/521d47ab
7,だれでもマスメディア時代のブルーオーシャンマーケティング,実践知,0h 59m,https://unlimited.globis.co.jp/ja/courses/5c2a2690
8,怒りにおぼれないコミュニケーション術,実践知,0h 30m,https://unlimited.globis.co.jp/ja/courses/5026aa5c
9,【シリーズ連載】グロホ、はじめました。,実践知,0h 15m,https://unlimited.globis.co.jp/ja/courses/0c6ef5b2
10,プロティアン・キャリアで学ぶキャリア自律のコツ,実践知,0h 36m,https://unlimited.globis.co.jp/ja/courses/545d7560
11,達人の一冊／ソクラテスの弁明,実践知,0h 08m,https://unlimited.globis.co.jp/ja/courses/b1820a09
12,あなただけの成功法則が見つかる！ミーニング・ノート活用法,実践知,0h 31m,https://unlimited.globis.co.jp/ja/courses/b1931a59
13,達人の一冊／女性のキャリア支援,実践知,0h 04m,https://unlimited.globis.co.jp/ja/courses/a7cf2575
14,成果を生む「自律人材」になろう！,実践知,0h 35m,https://unlimited.globis.co.jp/ja/courses/e8886d97
15,達人の一冊／LIFE DESIGN　スタンフォード式最高の人生設計,実践知,0h 07m,https://unlimited.globis.co.jp/ja/courses/5193c950
16,達人の一冊／ブルシット・ジョブ　クソどうでもいい仕事の理論,実践知,0h 05m,https://unlimited.globis.co.jp/ja/courses/260ec476
17,メンタルトレーナーが本質論で答えるビジネスパーソン相談室,実践知,0h 33m,https://unlimited.globis.co.jp/ja/courses/3347f047
18,社会人としてのビジネスマナー,実践知,0h 51m,https://unlimited.globis.co.jp/ja/courses/25ca8b0f
19,タイムマネジメントの必要性とコツ,実践知,0h 19m,https://unlimited.globis.co.jp/ja/courses/505d611b
20,Marketing of Life,実践知,0h 35m,https://unlimited.globis.co.jp/ja/courses/0fc6fa77
21,達人の一冊／イノベーション・オブ・ライフ,実践知,0h 04m,https://unlimited.globis.co.jp/ja/courses/c7a1ec04
22,達人の一冊／MICROECONOMICS,実践知,0h 08m,https://unlimited.globis.co.jp/ja/courses/be85771b
23,達人の一冊／トリガー　自分を変えるコーチングの極意,実践知,0h 06m,https://unlimited.globis.co.jp/ja/courses/9da06243
24,達人の一冊／Learn Better,実践知,0h 04m,https://unlimited.globis.co.jp/ja/courses/9ab83c0a
25,達人の一冊／プロフェッショナルの条件,実践知,0h 06m,https://unlimited.globis.co.jp/ja/courses/01f37491
26,コネ・カネ・チエのキャリア戦略,実践知,0h 45m,https://unlimited.globis.co.jp/ja/courses/d25c32d5
27,チャンスをつかむノートメソット　THE MEANING NOTE,実践知,0h 34m,https://unlimited.globis.co.jp/ja/courses/40d3c567
28,変動の時代を生き抜く為のビジネスパーソン5原則,実践知,0h 15m,https://unlimited.globis.co.jp/ja/courses/6717c00e
29,差異力～VUCA時代を勝ち抜く秘訣～,実践知,0h 22m,https://unlimited.globis.co.jp/ja/courses/5b037ab0
30,本業×社会活動！パラレルキャリアを始めよう！,実践知,0h 47m,https://unlimited.globis.co.jp/ja/courses/ecd38541
31,After終身雇用～おさえておくべき新時代のキャリアの考え方～,実践知,0h 24m,https://unlimited.globis.co.jp/ja/courses/af678444
32,人生100年時代のキャリアを考える,実践知,0h 26m,https://unlimited.globis.co.jp/ja/courses/0b39f7df
33,マインドフルネス入門,実践知,1h 17m,https://unlimited.globis.co.jp/ja/courses/14ef1850
34,ビジネスパーソンのための読書法概論,実践知,0h 56m,https://unlimited.globis.co.jp/ja/courses/ec70fc54
