,NAME,LEVEL,PERIOD,URL
0,リーン・スタートアップ,初級,0h 08m,https://unlimited.globis.co.jp/ja/courses/cb0ee9fa
1,ベンチャー・マネジメント,中級,1h 34m,https://unlimited.globis.co.jp/ja/courses/8a26d0dd
2,はじめてのビジネスプランニング,中級,0h 52m,https://unlimited.globis.co.jp/ja/courses/4a26651f
3,達人の一冊／起業家はどこで選択を誤るのか――スタートアップが必ず陥る9つのジレンマ,実践知,0h 08m,https://unlimited.globis.co.jp/ja/courses/38bf5167
4,SDGsに企業が取り組む5つの意義,実践知,0h 31m,https://unlimited.globis.co.jp/ja/courses/2eca5a64
5,価値あるプロダクトの作り方（後編） ～MVPで価値を持続可能にする～,実践知,0h 23m,https://unlimited.globis.co.jp/ja/courses/5e38271b
6,価値あるプロダクトの作り方（前編） ～0→1フェーズのブレない価値の確かめ方～,実践知,0h 25m,https://unlimited.globis.co.jp/ja/courses/88f1d1d7
7,コーヒーから学んだ起業家マインドセット,実践知,0h 20m,https://unlimited.globis.co.jp/ja/courses/6db53147
8,達人の一冊／コンセプトのつくり方,実践知,0h 08m,https://unlimited.globis.co.jp/ja/courses/256aed8a
9,達人の一冊／アイデアのつくり方,実践知,0h 09m,https://unlimited.globis.co.jp/ja/courses/1d667f81
10,達人の一冊／ジャスト・スタート　起業家に学ぶ予測不能な未来の生き抜き方,実践知,0h 05m,https://unlimited.globis.co.jp/ja/courses/5e082922
11,組織づくりの先に見えた新しい資本主義～面白法人カヤックの事例から～,実践知,0h 40m,https://unlimited.globis.co.jp/ja/courses/a8c1495b
12,そのイチゴはアグリテックとどんな夢を見るのか～GRA、ゼロからの挑戦～,実践知,0h 42m,https://unlimited.globis.co.jp/ja/courses/0f64ab7d
13,ソーシャルアントレプレナーシップ～女川町から日本の未来を創る～,実践知,0h 35m,https://unlimited.globis.co.jp/ja/courses/4f627ad2
14,モヤモヤを打破してアイデアを形に～コーポレートベンチャーを事例に～,実践知,0h 47m,https://unlimited.globis.co.jp/ja/courses/dc22dff2
15,スモールビジネス　副業入門,実践知,0h 40m,https://unlimited.globis.co.jp/ja/courses/ebd330cb
16,スタートアップサイエンス,実践知,0h 23m,https://unlimited.globis.co.jp/ja/courses/5f509b25
17,新規事業7つのあるある,実践知,0h 36m,https://unlimited.globis.co.jp/ja/courses/738cc149
18,【2月28日までの限定公開】ダイバーシティニュース　社会／乙武洋匡（1/24放送）,知見録 Premium,0h 42m,https://unlimited.globis.co.jp/ja/courses/1fdf7b9e
19,【2月28日までの限定公開】ダイバーシティニュース 社会／杉山文野（1/17放送）,知見録 Premium,0h 42m,https://unlimited.globis.co.jp/ja/courses/da4a44a6
20,【2月28日までの限定公開】ダイバーシティニュース　社会／駒崎弘樹（1/10放送）,知見録 Premium,0h 41m,https://unlimited.globis.co.jp/ja/courses/fa8a211c
21,【2月28日までの限定公開】ダイバーシティニュース　経済／川崎裕一（1/5放送）,知見録 Premium,0h 40m,https://unlimited.globis.co.jp/ja/courses/b91dccf1
