,NAME,URL
0,PDCA,https://unlimited.globis.co.jp/ja/courses/7fcd397e
1,プレゼンテーションスキル,https://unlimited.globis.co.jp/ja/courses/65ec7c14
2,ビジネスライティング,https://unlimited.globis.co.jp/ja/courses/08a81f4a
3,ファシリテーション,https://unlimited.globis.co.jp/ja/courses/5a8ad97d
4,ZOPAとBATNA,https://unlimited.globis.co.jp/ja/courses/587bdd27
5,Win-Win,https://unlimited.globis.co.jp/ja/courses/e345c35e
6,アンカリング・フレーミング,https://unlimited.globis.co.jp/ja/courses/4c079d92
7,ネゴシエーションスキル（基本編）,https://unlimited.globis.co.jp/ja/courses/63a58af6
8,ネゴシエーションスキル（実践編）,https://unlimited.globis.co.jp/ja/courses/c419c9a7
9,確証バイアス,https://unlimited.globis.co.jp/ja/courses/695fd50e
10,プレゼンテーションの極意,https://unlimited.globis.co.jp/ja/courses/1a17a729
