,NAME,URL
0,メラビアンの法則,https://unlimited.globis.co.jp/ja/courses/3fd86bd8
1,プレゼンテーションスキル,https://unlimited.globis.co.jp/ja/courses/65ec7c14
2,ビジネスライティング,https://unlimited.globis.co.jp/ja/courses/08a81f4a
3,ZOPAとBATNA,https://unlimited.globis.co.jp/ja/courses/587bdd27
4,Win-Win,https://unlimited.globis.co.jp/ja/courses/e345c35e
5,アンカリング・フレーミング,https://unlimited.globis.co.jp/ja/courses/4c079d92
6,ネゴシエーションスキル（基本編）,https://unlimited.globis.co.jp/ja/courses/63a58af6
7,ネゴシエーションスキル（実践編）,https://unlimited.globis.co.jp/ja/courses/c419c9a7
8,確証バイアス,https://unlimited.globis.co.jp/ja/courses/695fd50e
9,プレゼンテーションの極意,https://unlimited.globis.co.jp/ja/courses/1a17a729
