,NAME,COURSE,PERIOD,URL
0,MBA進学奨学金対象ラーニングパス,19 コース,22h 34m,https://unlimited.globis.co.jp/ja/learning-paths/ykimhxt8
1,論理的に考える力,9 コース,6h 02m,https://unlimited.globis.co.jp/ja/learning-paths/b1738baa
2,コミュニケーション力・実現する力,11 コース,5h 38m,https://unlimited.globis.co.jp/ja/learning-paths/eb4635aa
3,データ・情報分析力,10 コース,3h 11m,https://unlimited.globis.co.jp/ja/learning-paths/35eb5093
4,営業スキル（コミュニケーション編）,10 コース,4h 34m,https://unlimited.globis.co.jp/ja/learning-paths/fea4978f
5,組織マネジメント力,7 コース,5h 08m,https://unlimited.globis.co.jp/ja/learning-paths/b000ccbe
6,リーダーシップ力,14 コース,8h 23m,https://unlimited.globis.co.jp/ja/learning-paths/edce3a6f
7,メンバーマネジメント力1（労務・コンプライアンス編）,6 コース,3h 11m,https://unlimited.globis.co.jp/ja/learning-paths/31fff082
8,メンバーマネジメント力2（多様なメンバーマネジメント編）,4 コース,3h 26m,https://unlimited.globis.co.jp/ja/learning-paths/3c78f375
9,メンバーマネジメント力3（メンバー育成編）,3 コース,3h 43m,https://unlimited.globis.co.jp/ja/learning-paths/c7b5227e
10,経営力（ヒト編）,6 コース,7h 53m,https://unlimited.globis.co.jp/ja/learning-paths/318e2956
11,経営層としてのリーダーシップ力,6 コース,3h 36m,https://unlimited.globis.co.jp/ja/learning-paths/c8d469a7
12,営業スキル（応用編）,5 コース,4h 55m,https://unlimited.globis.co.jp/ja/learning-paths/8d3aa3a5
13,マーケティング1（全体像編）,9 コース,2h 46m,https://unlimited.globis.co.jp/ja/learning-paths/98e8fde4
14,マーケティング2（実践力編）,8 コース,7h 11m,https://unlimited.globis.co.jp/ja/learning-paths/b3b51b39
15,戦略立案の視点を養う1（環境分析フレームワーク編）,5 コース,0h 43m,https://unlimited.globis.co.jp/ja/learning-paths/bf388aec
16,戦略立案の視点を養う2（基本編）,6 コース,0h 46m,https://unlimited.globis.co.jp/ja/learning-paths/fb764e9a
17,戦略立案の視点を養う3（実践力編）,6 コース,4h 39m,https://unlimited.globis.co.jp/ja/learning-paths/0392b121
18,オペレーション・マネジメントで戦略を実現する,4 コース,2h 40m,https://unlimited.globis.co.jp/ja/learning-paths/50bdb4ea
19,経営力（モノ編）,5 コース,5h 46m,https://unlimited.globis.co.jp/ja/learning-paths/6a8ecc3c
20,アカウンティング基礎,16 コース,5h 52m,https://unlimited.globis.co.jp/ja/learning-paths/ca8874dd
21,ファイナンス基礎,12 コース,4h 32m,https://unlimited.globis.co.jp/ja/learning-paths/0f5cab1a
22,経営力（カネ編）,7 コース,7h 34m,https://unlimited.globis.co.jp/ja/learning-paths/a026aa7a
23,グローバル環境で活躍する力,5 コース,2h 58m,https://unlimited.globis.co.jp/ja/learning-paths/3057d919
24,グローバル戦略の視点を養う,5 コース,3h 10m,https://unlimited.globis.co.jp/ja/learning-paths/8fe9db3d
25,成長し続ける力,4 コース,4h 16m,https://unlimited.globis.co.jp/ja/learning-paths/b74c26fd
26,キャリア・志に向き合う,5 コース,3h 31m,https://unlimited.globis.co.jp/ja/learning-paths/21bad04f
27,変革を起こす力,4 コース,3h 00m,https://unlimited.globis.co.jp/ja/learning-paths/4e051f24
28,経営力（変革編）,3 コース,1h 44m,https://unlimited.globis.co.jp/ja/learning-paths/9e90d27d
29,新規事業・ベンチャーを作る,5 コース,4h 14m,https://unlimited.globis.co.jp/ja/learning-paths/831b5d65
30,ビジネスパーソンのＩＴ基礎,7 コース,4h 12m,https://unlimited.globis.co.jp/ja/learning-paths/24736042
31,経営力（テクノベート編）,8 コース,8h 44m,https://unlimited.globis.co.jp/ja/learning-paths/a434a6d4
32,DXについて学ぶ,9 コース,2h 53m,https://unlimited.globis.co.jp/ja/learning-paths/4721a284
