,NAME,LEVEL,PERIOD,URL
0,機長症候群,初級,0h 04m,https://unlimited.globis.co.jp/ja/courses/a6958129
1,集団浅慮（グループシンク）,初級,0h 06m,https://unlimited.globis.co.jp/ja/courses/f610ed6f
2,バンドワゴン効果とアンダードッグ効果,初級,0h 08m,https://unlimited.globis.co.jp/ja/courses/df377f5b
3,ジャムの法則,初級,0h 06m,https://unlimited.globis.co.jp/ja/courses/905a42b1
4,初頭効果と終末効果,初級,0h 06m,https://unlimited.globis.co.jp/ja/courses/5d4f8f81
5,定量分析の5つの視点,初級,0h 11m,https://unlimited.globis.co.jp/ja/courses/a951fa83
6,度数分析,初級,0h 08m,https://unlimited.globis.co.jp/ja/courses/4a542926
7,時系列分析,初級,0h 08m,https://unlimited.globis.co.jp/ja/courses/acb3fae3
8,ガントチャート,初級,0h 10m,https://unlimited.globis.co.jp/ja/courses/e420b525
9,ウォーターフォールチャート,初級,0h 06m,https://unlimited.globis.co.jp/ja/courses/3a8fe24f
10,感度分析,初級,0h 06m,https://unlimited.globis.co.jp/ja/courses/4d4fdf48
11,説得の3層構造,初級,0h 07m,https://unlimited.globis.co.jp/ja/courses/024b642a
12,現状維持バイアス,初級,0h 07m,https://unlimited.globis.co.jp/ja/courses/150b4850
13,回帰分析,初級,0h 15m,https://unlimited.globis.co.jp/ja/courses/5cebfa15
14,囚人のシレンマ,初級,0h 07m,https://unlimited.globis.co.jp/ja/courses/0ade87e4
15,確証バイアス,初級,0h 07m,https://unlimited.globis.co.jp/ja/courses/695fd50e
16,相関分析,初級,0h 09m,https://unlimited.globis.co.jp/ja/courses/d7b1a5e8
17,Win-Win,初級,0h 09m,https://unlimited.globis.co.jp/ja/courses/e345c35e
18,アンカリング・フレーミング,初級,0h 10m,https://unlimited.globis.co.jp/ja/courses/4c079d92
19,ZOPAとBATNA,初級,0h 08m,https://unlimited.globis.co.jp/ja/courses/587bdd27
20,因果関係,初級,0h 09m,https://unlimited.globis.co.jp/ja/courses/49b585e9
21,クロス集計,初級,0h 10m,https://unlimited.globis.co.jp/ja/courses/8ed65a2d
22,フェルミ推定,初級,0h 10m,https://unlimited.globis.co.jp/ja/courses/50fe7f97
23,演繹的／帰納的思考,初級,0h 08m,https://unlimited.globis.co.jp/ja/courses/5027cf61
24,ディシジョンツリー,初級,0h 11m,https://unlimited.globis.co.jp/ja/courses/c5b5508e
25,散布図,初級,0h 06m,https://unlimited.globis.co.jp/ja/courses/c332a1ae
26,パレート分析,初級,0h 04m,https://unlimited.globis.co.jp/ja/courses/7e0ab5a5
27,ピラミッド構造,初級,0h 10m,https://unlimited.globis.co.jp/ja/courses/f9b50210
28,ロジックツリー,初級,0h 07m,https://unlimited.globis.co.jp/ja/courses/5e26f61c
29,MECE,初級,0h 08m,https://unlimited.globis.co.jp/ja/courses/4bfa66e5
30,シチュエーションで学ぼう！クリティカル・シンキング編,中級,0h 30m,https://unlimited.globis.co.jp/ja/courses/e9b5cf3d
31,ビジネス定量分析（後編）,中級,1h 08m,https://unlimited.globis.co.jp/ja/courses/ddf49175
32,ビジネス定量分析（前編）,中級,0h 49m,https://unlimited.globis.co.jp/ja/courses/f64e4ff5
33,メンバー育成のための質問力,中級,1h 14m,https://unlimited.globis.co.jp/ja/courses/b98a2887
34,クリティカル・シンキング3（仮説思考の鍛え方）,中級,1h 07m,https://unlimited.globis.co.jp/ja/courses/2e634bc1
35,クリティカル・シンキング2（問題解決編）,中級,1h 40m,https://unlimited.globis.co.jp/ja/courses/2d3d6b2e
36,論理思考で仕事の壁を乗り越える5つのポイント,中級,0h 46m,https://unlimited.globis.co.jp/ja/courses/8f9dac7b
37,クリティカル・シンキング（論理思考編）,中級,1h 45m,https://unlimited.globis.co.jp/ja/courses/7608976e
38,ファシリテーション,中級,1h 06m,https://unlimited.globis.co.jp/ja/courses/5a8ad97d
39,ビジネスライティング,中級,0h 49m,https://unlimited.globis.co.jp/ja/courses/08a81f4a
40,ネゴシエーションスキル（実践編）,中級,0h 51m,https://unlimited.globis.co.jp/ja/courses/c419c9a7
41,ネゴシエーションスキル（基本編）,中級,0h 30m,https://unlimited.globis.co.jp/ja/courses/63a58af6
42,プレゼンテーションスキル,中級,1h 05m,https://unlimited.globis.co.jp/ja/courses/65ec7c14
