,NAME,LEVEL,PERIOD,URL
0,ストックオプション,初級,0h 08m,https://unlimited.globis.co.jp/ja/courses/e3ae7d8c
1,企業価値評価（マルチプル法）,初級,0h 09m,https://unlimited.globis.co.jp/ja/courses/cc4e328e
2,ROAとROE,初級,0h 10m,https://unlimited.globis.co.jp/ja/courses/be65c459
3,損益分岐点分析,初級,0h 07m,https://unlimited.globis.co.jp/ja/courses/1a85a812
4,収益性分析,初級,0h 09m,https://unlimited.globis.co.jp/ja/courses/5bc39f99
5,ABC,初級,0h 12m,https://unlimited.globis.co.jp/ja/courses/87ea4eba
6,EVA,初級,0h 13m,https://unlimited.globis.co.jp/ja/courses/ab4f15c5
7,リアルオプション,初級,0h 09m,https://unlimited.globis.co.jp/ja/courses/7435b354
8,損益計算書,初級,0h 08m,https://unlimited.globis.co.jp/ja/courses/3027a1b8
9,減価償却,初級,0h 11m,https://unlimited.globis.co.jp/ja/courses/30e433c0
10,IFRS,初級,0h 15m,https://unlimited.globis.co.jp/ja/courses/4828d5f2
11,ワーキング・キャピタル,初級,0h 07m,https://unlimited.globis.co.jp/ja/courses/3b27d104
12,節税効果,初級,0h 08m,https://unlimited.globis.co.jp/ja/courses/391227b5
13,CAPM,初級,0h 10m,https://unlimited.globis.co.jp/ja/courses/86da66b7
14,フリー・キャッシュフロー（FCF）,初級,0h 08m,https://unlimited.globis.co.jp/ja/courses/76a961ff
15,割引率,初級,0h 07m,https://unlimited.globis.co.jp/ja/courses/392781d9
16,金銭の時間的価値,初級,0h 06m,https://unlimited.globis.co.jp/ja/courses/18a38c0e
17,APV法,初級,0h 09m,https://unlimited.globis.co.jp/ja/courses/e0d5756f
18,DCF法,初級,0h 09m,https://unlimited.globis.co.jp/ja/courses/1df65aed
19,WACC,初級,0h 08m,https://unlimited.globis.co.jp/ja/courses/dd20181b
20,KPI,初級,0h 08m,https://unlimited.globis.co.jp/ja/courses/562ebfaf
21,収益と費用の認識,初級,0h 08m,https://unlimited.globis.co.jp/ja/courses/d3187164
22,成長性分析,初級,0h 08m,https://unlimited.globis.co.jp/ja/courses/540fbebf
23,効率性分析,初級,0h 08m,https://unlimited.globis.co.jp/ja/courses/71893843
24,安全性分析,初級,0h 07m,https://unlimited.globis.co.jp/ja/courses/af029bc2
25,キャッシュフロー計算書,初級,0h 06m,https://unlimited.globis.co.jp/ja/courses/24538276
26,貸借対照表,初級,0h 05m,https://unlimited.globis.co.jp/ja/courses/a06f6c2e
27,サンクコスト,初級,0h 06m,https://unlimited.globis.co.jp/ja/courses/e4c753dc
28,ファイナンス（後編：事業価値評価編）,中級,0h 54m,https://unlimited.globis.co.jp/ja/courses/38848dba
29,ファイナンス（前編：基本編）,中級,1h 02m,https://unlimited.globis.co.jp/ja/courses/5d1d415b
30,アカウンティング基礎（後編：財務分析編）,中級,0h 52m,https://unlimited.globis.co.jp/ja/courses/7e2e40e4
31,アカウンティング基礎（前編：財務三表編）,中級,1h 21m,https://unlimited.globis.co.jp/ja/courses/d4516471
32,ファイナンス（資本コスト編）,中級,1h 20m,https://unlimited.globis.co.jp/ja/courses/d82e88c3
33,予測財務諸表,中級,0h 57m,https://unlimited.globis.co.jp/ja/courses/bbb0e84b
34,管理会計,中級,1h 05m,https://unlimited.globis.co.jp/ja/courses/d057f2a0
35,達人の一冊／稲盛和夫の実学―経営と会計,実践知,0h 07m,https://unlimited.globis.co.jp/ja/courses/37f2ea08
36,SDGsと再定義される金融～お金の力を使って世界を変える～,実践知,0h 20m,https://unlimited.globis.co.jp/ja/courses/fc68982e
37,達人の一冊／バリュエーションの教科書,実践知,0h 05m,https://unlimited.globis.co.jp/ja/courses/71b06488
38,財務企画の仕事とは,実践知,0h 41m,https://unlimited.globis.co.jp/ja/courses/e6596a29
39,資産運用を考えるときは「ポートフォリオ」を意識する！／みんなの相談室Premium,知見録 Premium,0h 08m,https://unlimited.globis.co.jp/ja/courses/ef6d0110
