,NAME,LEVEL,PERIOD,URL
0,CAGE,初級,0h 08m,https://unlimited.globis.co.jp/ja/courses/847fc650
1,グローバル経営人材の要件,初級,0h 08m,https://unlimited.globis.co.jp/ja/courses/ec545780
2,カントリー・アナリシス・フレームワーク,初級,0h 09m,https://unlimited.globis.co.jp/ja/courses/4315d5c4
3,日本・アジア企業のグローバル化戦略,中級,1h 33m,https://unlimited.globis.co.jp/ja/courses/a2a1ac18
4,グローバル・パースペクティブ,中級,1h 10m,https://unlimited.globis.co.jp/ja/courses/d8a78605
5,グローバルビジネス英語 I,中級,1h 04m,https://unlimited.globis.co.jp/ja/courses/2fd4dbd2
6,English Management Training (EN),中級,0h 34m,https://unlimited.globis.co.jp/ja/courses/89d73146
7,異文化理解力,中級,0h 39m,https://unlimited.globis.co.jp/ja/courses/e8ad13e6
8,「アメリカの闇」を特許戦略から見る／超わかる！経済のミカタ,実践知,0h 09m,https://unlimited.globis.co.jp/ja/courses/a9211826
9,海外で結果を出す人は異文化を言い訳にしない～後編：4つの壁を乗り越え結果を出すには？～,実践知,0h 13m,https://unlimited.globis.co.jp/ja/courses/a7ab9110
10,海外で結果を出す人は異文化を言い訳にしない～前編：直面する4つの壁を理解する～,実践知,0h 18m,https://unlimited.globis.co.jp/ja/courses/86d333ce
11,達人の一冊／コークの味は国ごとに違うべきか,実践知,0h 08m,https://unlimited.globis.co.jp/ja/courses/fec4db0b
12,達人の一冊／沈黙のことば,実践知,0h 05m,https://unlimited.globis.co.jp/ja/courses/5906eeef
13,グローバルで活躍するために必要なスキル～インドネシア味の素での経験を事例に～,実践知,0h 32m,https://unlimited.globis.co.jp/ja/courses/db842a1a
14,ポストコロナ時代の日本の外交戦略～小原凡司×四方敬之×神保謙×田村耕太郎×堀義人,知見録 Premium,1h 00m,https://unlimited.globis.co.jp/ja/courses/0f636250
15,日本の食文化のグローバルな可能性～辻芳樹×徳岡邦夫×米田肇×西経子,知見録 Premium,0h 59m,https://unlimited.globis.co.jp/ja/courses/be5c2962
16,グローバルな環境で馴染むには「ポジティブな無関心」を心掛けよう／みんなの相談室Premium,知見録 Premium,0h 12m,https://unlimited.globis.co.jp/ja/courses/758e4474
17,個人がグローバル化するためには「コンフォートゾーン」から脱却せよ！／みんなの相談室Premium,知見録 Premium,0h 10m,https://unlimited.globis.co.jp/ja/courses/2414392d
18,ビジネスリーダーが認識すべき「地政学リスク」～塩野誠×平将明×村田晃嗣×高橋亨,知見録 Premium,0h 59m,https://unlimited.globis.co.jp/ja/courses/897c7d77
19,グローバル視点でみる経済リスクとコミュニケーション力～武田洋子×成田悠輔×柳川範之×ロス・ローブリー,知見録 Premium,0h 59m,https://unlimited.globis.co.jp/ja/courses/058f42ab
20,地政学リスクに対する企業の危機管理法～田村耕太郎×三原康弘×山田正明×神保謙,知見録 Premium,1h 00m,https://unlimited.globis.co.jp/ja/courses/08b57f2c
