,NAME,LEVEL,PERIOD,URL
0,コッターの変革プロセス,初級,0h 11m,https://unlimited.globis.co.jp/ja/courses/9b1007c9
1,変われない組織の空気を打破する～これからの個人と組織のあり方～,実践知,1h 03m,https://unlimited.globis.co.jp/ja/courses/dd6924ba
2,変革のリーダーシップ,実践知,0h 27m,https://unlimited.globis.co.jp/ja/courses/fac813a8
3,コロナが変えるソーシャルビジネスの新たな潮流～佐藤大吾×杉山文野×米良はるか×安渕聖司×宮城治男,知見録 Premium,1h 02m,https://unlimited.globis.co.jp/ja/courses/af817259
4,持続可能な社会のために必要な「資本主義の未来」とは～鈴木馨祐×竹中平蔵×田代桂子×成田悠輔×Jesper Koll,知見録 Premium,1h 01m,https://unlimited.globis.co.jp/ja/courses/2e647e57
5,多様な生き方・働き方で変わる都市のかたち～五十嵐立青×須田善明×森俊子×森浩生×秋山咲恵,知見録 Premium,1h 00m,https://unlimited.globis.co.jp/ja/courses/3a8da893
6,コロナ禍における子どもたちの危機をどう救うか？～白井智子×中室牧子×森まさこ×駒崎弘樹,知見録 Premium,0h 59m,https://unlimited.globis.co.jp/ja/courses/b53cb6fc
7,社会の分断・格差が起こす「見えにくい問題」とは～川口加奈×工藤啓×﨑田恭平×鈴木隼人×今村久美,知見録 Premium,0h 58m,https://unlimited.globis.co.jp/ja/courses/a8ef2d61
8,社会保障制度の現状と浮彫りになった課題とは？～小黒一正×佐藤啓×古川元久×堀真奈美×堀義人,知見録 Premium,1h 00m,https://unlimited.globis.co.jp/ja/courses/5a4d97cf
9,22年4月から個別周知義務化　男性育休のメリット～天野妙氏（みらい子育て全国ネットワーク代表／合同会社Respect each other代表）,知見録 Premium,0h 16m,https://unlimited.globis.co.jp/ja/courses/9f1773ba
10,丸井、ヤフー、富士通、コロナ危機をチャンスに変えるために経営者は今、何をすべきか～青井浩×川邊健太郎×時田隆仁×秋山咲恵,知見録 Premium,1h 01m,https://unlimited.globis.co.jp/ja/courses/d2620977
11,参拝者が倍増！築地本願寺の経営改革,知見録 Premium,0h 12m,https://unlimited.globis.co.jp/ja/courses/080b2207
12,オクト（建設）×キャディ（製造）×Shippio（物流）×ラクスル（印刷／物流）の創業経営者たちが語る！業界を変革する時の課題と戦略～稲田武夫×加藤勇志郎×佐藤孝徳×松本恭攝,知見録 Premium,0h 57m,https://unlimited.globis.co.jp/ja/courses/feb3aa99
