,NAME,LEVEL,PERIOD,URL
0,NPS,初級,0h 11m,https://unlimited.globis.co.jp/ja/courses/74f98bf5
1,クラウド,初級,0h 12m,https://unlimited.globis.co.jp/ja/courses/1c7e6367
2,UI/UX,初級,0h 09m,https://unlimited.globis.co.jp/ja/courses/598e2d80
3,Webマーケティング指標,初級,0h 13m,https://unlimited.globis.co.jp/ja/courses/bfcbf075
4,レイヤー構造,初級,0h 12m,https://unlimited.globis.co.jp/ja/courses/418923a3
5,ビッグデータ,初級,0h 11m,https://unlimited.globis.co.jp/ja/courses/9e0a8400
6,VR／AR／MR,初級,0h 09m,https://unlimited.globis.co.jp/ja/courses/66a4d600
7,API,初級,0h 08m,https://unlimited.globis.co.jp/ja/courses/e57b7aef
8,SEO,初級,0h 09m,https://unlimited.globis.co.jp/ja/courses/7d952111
9,スマート工場／インダストリー4.0,初級,0h 08m,https://unlimited.globis.co.jp/ja/courses/b1585d5e
10,サブスクリプション,初級,0h 10m,https://unlimited.globis.co.jp/ja/courses/298902e0
11,ロボティクス,初級,0h 10m,https://unlimited.globis.co.jp/ja/courses/3de05016
12,プラットフォーム,初級,0h 13m,https://unlimited.globis.co.jp/ja/courses/c516495b
13,ムーアの法則,初級,0h 06m,https://unlimited.globis.co.jp/ja/courses/2bc01f62
14,スマート生活～第四次産業革命で変わる私たちの生活と産業の姿～,初級,0h 31m,https://unlimited.globis.co.jp/ja/courses/16835e09
15,ディープラーニング,初級,0h 10m,https://unlimited.globis.co.jp/ja/courses/a939d28b
16,ブロックチェーン,初級,0h 13m,https://unlimited.globis.co.jp/ja/courses/70831f5c
17,フィンテック,初級,0h 14m,https://unlimited.globis.co.jp/ja/courses/c8f59cdf
18,デザインシンキング,初級,0h 12m,https://unlimited.globis.co.jp/ja/courses/12f0ebdc
19,シェアリング・エコノミー,初級,0h 10m,https://unlimited.globis.co.jp/ja/courses/dd82c94c
20,6Tech～イノベーションの潮流～,初級,0h 12m,https://unlimited.globis.co.jp/ja/courses/288276d8
21,HR tech,初級,0h 13m,https://unlimited.globis.co.jp/ja/courses/89150bc6
22,テクノベート・ストラテジー（後編）,中級,0h 59m,https://unlimited.globis.co.jp/ja/courses/4125e5b0
