,NAME,URL
0,論理思考で仕事の壁を乗り越える5つのポイント,https://unlimited.globis.co.jp/ja/courses/8f9dac7b
1,クリティカル・シンキング（論理思考編）,https://unlimited.globis.co.jp/ja/courses/7608976e
2,クリティカル・シンキング2（問題解決編）,https://unlimited.globis.co.jp/ja/courses/2d3d6b2e
3,クリティカル・シンキング3（仮説思考の鍛え方）,https://unlimited.globis.co.jp/ja/courses/2e634bc1
4,ビジネス定量分析（前編）,https://unlimited.globis.co.jp/ja/courses/f64e4ff5
5,ビジネス定量分析（後編）,https://unlimited.globis.co.jp/ja/courses/ddf49175
6,人材マネジメント,https://unlimited.globis.co.jp/ja/courses/d2e02f8e
7,組織行動とリーダーシップ,https://unlimited.globis.co.jp/ja/courses/37682827
8,マーケティング（基本編）,https://unlimited.globis.co.jp/ja/courses/1d85b1fc
9,マーケティング（マーケティングミックス編）,https://unlimited.globis.co.jp/ja/courses/115c84fb
10,経営戦略,https://unlimited.globis.co.jp/ja/courses/1916a92b
11,アカウンティング基礎（前編：財務三表編）,https://unlimited.globis.co.jp/ja/courses/d4516471
12,アカウンティング基礎（後編：財務分析編）,https://unlimited.globis.co.jp/ja/courses/7e2e40e4
13,ファイナンス（前編：基本編）,https://unlimited.globis.co.jp/ja/courses/5d1d415b
14,ファイナンス（後編：事業価値評価編）,https://unlimited.globis.co.jp/ja/courses/38848dba
15,オペレーション戦略（前編）,https://unlimited.globis.co.jp/ja/courses/42700d23
16,オペレーション戦略（後編）,https://unlimited.globis.co.jp/ja/courses/2b7f0d3d
17,ビジネスパーソンの新しい必須知識「テクノベート」基礎,https://unlimited.globis.co.jp/ja/courses/8ed57ebc
18,志を育てる,https://unlimited.globis.co.jp/ja/courses/4c487a02
