,NAME,URL
0,相関分析,https://unlimited.globis.co.jp/ja/courses/d7b1a5e8
1,回帰分析,https://unlimited.globis.co.jp/ja/courses/5cebfa15
2,散布図,https://unlimited.globis.co.jp/ja/courses/c332a1ae
3,ビジネス定量分析（前編）,https://unlimited.globis.co.jp/ja/courses/f64e4ff5
4,ビジネス定量分析（後編）,https://unlimited.globis.co.jp/ja/courses/ddf49175
5,パレート分析,https://unlimited.globis.co.jp/ja/courses/7e0ab5a5
6,感度分析,https://unlimited.globis.co.jp/ja/courses/4d4fdf48
7,クロス集計,https://unlimited.globis.co.jp/ja/courses/8ed65a2d
8,ディシジョンツリー,https://unlimited.globis.co.jp/ja/courses/c5b5508e
9,フェルミ推定,https://unlimited.globis.co.jp/ja/courses/50fe7f97
